Ponto / Grupo,Data,Hora,Ativa C (kWh),Qualidade,Origem
RJAQTEENTR101 (L),10/04/2024,6,"539,401",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,7,"651,970",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,8,"742,185",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,9,"733,939",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,10,"781,969",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,11,"779,742",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,12,"836,297",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,13,"743,676",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,14,"811,375",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,15,"804,735",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,16,"823,103",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,17,"812,628",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,18,"602,671",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,19,"32,648",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,20,"33,155",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,21,"37,163",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,22,"32,399",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,23,"18,059",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,24,"14,722",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,1,"14,768",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,2,"14,107",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,3,"13,798",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,4,"13,620",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,5,"14,729",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,6,"596,276",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,7,"630,997",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,8,"784,133",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,9,"778,377",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,10,"811,088",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,11,"816,022",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,12,"829,039",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,13,"734,772",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,14,"773,216",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,15,"820,429",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,16,"813,019",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,17,"831,436",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,18,"92,879",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,19,"51,799",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,20,"48,095",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,21,"45,168",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,22,"44,525",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),11/04/2024,23,"42,027",Completo,COLETA DIÁRIA
